filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1.mat,157,0.03,5,0.014193146071757968,0.9996966939642099,0.5653624507127691,0.0,0.9936305732484076,0.28662420382165604,0.0
../data/data_static_indoor_1.mat,157,0.03,6,0.023070447991547855,0.9996440014239943,0.4674261302954788,0.0,0.9936305732484076,0.17834394904458598,0.0
../data/data_static_indoor_1.mat,157,0.03,7,0.019964169563150218,0.9987228607918263,0.4286930608769689,0.0,0.9808917197452229,0.18471337579617833,0.0
../data/data_static_indoor_1.mat,157,0.03,8,0.019450198395981,0.9971711456859972,0.43705799151343705,0.0,0.9681528662420382,0.21019108280254778,0.0
../data/data_static_indoor_1.mat,157,0.03,9,0.027246766029890807,1.0,0.3588362068965517,0.0,1.0,0.12738853503184713,0.0
../data/data_static_indoor_1.mat,157,0.03,10,0.02117768679282741,1.0,0.38801261829652994,0.0,1.0,0.1337579617834395,0.0

filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_outdoor_1.mat,35,0.05,2,1.0,0.6636982713462546,0.33001571503404925,0.05657412257726559,0.14285714285714285,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,3,0.13414221263507287,0.9623875715453802,0.15290269828291086,0.0008176614881439084,0.9428571428571428,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,4,0.06120720443659122,0.9404388714733543,0.2027168234064786,0.0,0.8571428571428571,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,5,0.030494532803141718,0.9986684420772304,0.18641810918774968,0.0,0.9714285714285714,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,6,0.0383613926877846,0.9967897271268058,0.17174959871589085,0.0,0.9428571428571428,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,7,0.06400403654241915,0.9905838041431262,0.128060263653484,0.0,0.9714285714285714,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,8,0.0552958275161852,0.948936170212766,0.1425531914893617,0.0,0.6857142857142857,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,9,0.04692214643405432,0.9852579852579852,0.10073710073710074,0.0,0.9428571428571428,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.05,10,0.04377640726748392,0.9971830985915493,0.09014084507042254,0.0,0.9714285714285714,0.0,0.0

filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_outdoor_1.mat,35,0.07,2,1.0,0.6089709762532981,0.2617414248021108,0.06279683377308708,0.14285714285714285,0.02857142857142857,0.0
../data/data_static_outdoor_1.mat,35,0.07,3,0.13414221263507287,0.9457682826622843,0.2810188989317995,0.0049301561216105174,0.8571428571428571,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.07,4,0.06120720443659122,0.9967948717948718,0.27884615384615385,0.0,0.9142857142857143,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.07,5,0.030494532803141718,1.0,0.46521145975443384,0.0,1.0,0.2,0.0
../data/data_static_outdoor_1.mat,35,0.07,6,0.0383613926877846,1.0,0.3873015873015873,0.0,1.0,0.08571428571428572,0.0
../data/data_static_outdoor_1.mat,35,0.07,7,0.06400403654241915,1.0,0.38301886792452833,0.0,1.0,0.02857142857142857,0.0
../data/data_static_outdoor_1.mat,35,0.07,8,0.0552958275161852,1.0,0.2703862660944206,0.0,1.0,0.02857142857142857,0.0
../data/data_static_outdoor_1.mat,35,0.07,9,0.04692214643405432,0.9976190476190476,0.37142857142857144,0.0,0.9714285714285714,0.08571428571428572,0.0
../data/data_static_outdoor_1.mat,35,0.07,10,0.04377640726748392,1.0,0.4659400544959128,0.0,1.0,0.14285714285714285,0.0

filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_outdoor_1.mat,35,0.06,2,1.0,0.5850622406639004,0.2961618257261411,0.056016597510373446,0.14285714285714285,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.06,3,0.13414221263507287,0.9601949634443542,0.2510154346060114,0.003249390739236393,0.9428571428571428,0.05714285714285714,0.0
../data/data_static_outdoor_1.mat,35,0.06,4,0.06120720443659122,0.9742212674543501,0.21374865735767992,0.0010741138560687433,0.8857142857142857,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.06,5,0.030494532803141718,1.0,0.312242090784044,0.0,1.0,0.08571428571428572,0.0
../data/data_static_outdoor_1.mat,35,0.06,6,0.0383613926877846,0.9983922829581994,0.24115755627009647,0.0,0.9714285714285714,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.06,7,0.06400403654241915,0.9903474903474904,0.31467181467181465,0.0,0.9714285714285714,0.02857142857142857,0.0
../data/data_static_outdoor_1.mat,35,0.06,8,0.0552958275161852,0.9896049896049897,0.17255717255717257,0.0,0.8571428571428571,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.06,9,0.04692214643405432,0.9927007299270073,0.17518248175182483,0.0,0.9428571428571428,0.0,0.0
../data/data_static_outdoor_1.mat,35,0.06,10,0.04377640726748392,1.0,0.25595238095238093,0.0,1.0,0.02857142857142857,0.0
